"","weeks","immuno","prior_inf","prior_vacc","severe_ve","nonsevere_ve"
"307",51,0,0,1,0.411158035229019,0.0669853099139158
"308",51,0,1,0,0.797368088466702,0.265303493878965
"309",51,0,1,1,0.893509210232986,0.348951607647752
"310",51,1,0,1,0.261158035229018,0
"311",51,1,1,0,0.647368088466702,0.115303493878965
"312",51,1,1,1,0.745852133132871,0.198951607647752
"313",52,0,0,1,0.403456585025464,0.0617284669841555
"314",52,0,1,0,0.795612183801927,0.257040957224776
"315",52,0,1,1,0.892734534821127,0.342938000132286
"316",52,1,0,1,0.253456585025464,0
"317",52,1,1,0,0.645612183801927,0.107040957224776
"318",52,1,1,1,0.74316261307199,0.192938000132286
"319",53,0,0,1,0.395803978901034,0.0565429840609428
"320",53,0,1,0,0.793874944023395,0.248845534420206
"321",53,0,1,1,0.891969140849034,0.336984978212394
"322",53,1,0,1,0.245803978901034,0
"323",53,1,1,0,0.643874944023396,0.098845534420206
"324",53,1,1,1,0.740482374450875,0.186984978212394
"325",54,0,0,1,0.388198994063427,0.0514265729875466
"326",54,0,1,0,0.79215582407362,0.24071542914534
"327",54,0,1,1,0.891212745085806,0.331090805337097
"328",54,1,0,1,0.238198994063427,0
"329",54,1,1,0,0.64215582407362,0.09071542914534
"330",54,1,1,1,0.737811134038625,0.181090805337097
"331",55,0,0,1,0.380640460347465,0.0463770597316873
"332",55,0,1,0,0.790454304562883,0.232648925414646
"333",55,0,1,1,0.890465078000257,0.325253825821604
"334",55,1,0,1,0.230640460347465,0
"335",55,1,1,0,0.640454304562883,0.0826489254146457
"336",55,1,1,1,0.735148622304054,0.175253825821604
"337",56,0,0,1,0.373127257036878,0.0413923767340724
"338",56,0,1,0,0.788769890117895,0.224644382593916
"339",56,0,1,1,0.889725882862508,0.319472459686034
"340",56,1,0,1,0.223127257036878,0
"341",56,1,1,0,0.638769890117896,0.0746443825939157
"342",56,1,1,1,0.732494582517283,0.169472459686034
"343",57,0,0,1,0.365658309931223,0.0364705558966334
"344",57,0,1,0,0.787102107864148,0.216700230809479
"345",57,0,1,1,0.888994914919406,0.313745197909484
"346",57,1,0,1,0.215658309931223,0
"347",57,1,1,0,0.637102107864148,0.066700230809479
"348",57,1,1,1,0.72984876992516,0.163745197909484
"349",58,0,0,1,0.358232588635057,0.0316097221467622
"350",58,0,1,0,0.785450506029005,0.208814966712497
"351",58,0,1,1,0.888271940636524,0.308070598059317
"352",58,1,0,1,0.208232588635057,0
"353",58,1,1,0,0.635450506029005,0.0588149667124968
"354",58,1,1,1,0.727210950993256,0.158070598059317
"355",59,0,0,1,0.350849104049005,0.026808087521161
"356",59,0,1,0,0.783814652654017,0.200987149565232
"357",59,0,1,1,0.887556737000315,0.302447280260095
"358",59,1,0,1,0.200849104049005,0
"359",59,1,1,0,0.633814652654017,0.0509871495652318
"360",59,1,1,1,0.724580902708025,0.152447280260095
"361",6,0,0,1,0.859378847925686,0.497692369832111
"362",6,0,1,0,0.921705127600799,0.785795068120766
"363",6,0,1,1,0.95209452144356,0.763660612303221
"364",6,1,0,1,0.709378847925686,0.347692369832111
"365",6,1,1,0,0.771705127600799,0.635795068120766
"366",6,1,1,1,0.89060545354943,0.613660612303221
"367",60,0,0,1,0.343506906044509,0.0220639457193067
"368",60,0,1,0,0.782194134406214,0.193215397619799
"369",60,0,1,1,0.886849090874709,0.296873923470453
"370",60,1,0,1,0.193506906044509,0
"371",60,1,1,0,0.632194134406213,0.0432153976197987
"372",60,1,1,1,0.721958411933397,0.146873923470453
"373",61,0,0,1,0.336205081305996,0.0173756670820847
"374",61,0,1,0,0.780588555479253,0.185498384763044
"375",61,0,1,1,0.886148798407077,0.291349262039694
"376",61,1,0,1,0.186205081305996,0
