"","week","age_group","risk_group","risk_coverage","prop_up_to_date_sim_period"
"237",10,"50-64 years","immunocompromised",4.82684698310397,0.0831534440248755
"238",2,"50-64 years","immunocompromised",0.488031054320205,0
"239",5,"50-64 years","immunocompromised",0.737466426919798,0.008182630676363
"240",9,"50-64 years","immunocompromised",2.37107520769423,0.0275443191267437
"241",7,"50-64 years","immunocompromised",0.744141716783135,0
"242",21,"50-64 years","immunocompromised",26.2787177150092,0.0621369813018801
"243",8,"50-64 years","immunocompromised",1.55760846223868,0.0275443191267437
"244",3,"50-64 years","immunocompromised",0.492685384867114,0.000157597549772759
"245",12,"50-64 years","immunocompromised",8.73164658838827,0.0830850135098426
"246",4,"50-64 years","immunocompromised",0.495808685628856,0.000105756250505427
"247",13,"50-64 years","immunocompromised",10.9744215000854,0.0759412824707978
"248",22,"50-64 years","immunocompromised",26.8558547028262,0.0195420961718311
"249",20,"50-64 years","immunocompromised",24.4436254145066,0.0379975987110179
"250",18,"50-64 years","immunocompromised",21.9666641868702,0.0826578412038794
"251",16,"50-64 years","immunocompromised",16.3624215200492,0.0543960384952751
"252",14,"50-64 years","immunocompromised",12.6369973643952,0.056295503700432
"253",23,"50-64 years","immunocompromised",27.8731933744747,0.0344475065371879
"254",15,"50-64 years","immunocompromised",14.755942587068,0.0717483581860522
"255",24,"50-64 years","immunocompromised",28.8223706000876,0.0321395318938041
"256",19,"50-64 years","immunocompromised",23.3214418231698,0.0458733288957182
"257",6,"50-64 years","immunocompromised",0.744141716783135,0.000226028064805908
"258",17,"50-64 years","immunocompromised",19.5255290562066,0.107104124286404
"259",26,"50-64 years","immunocompromised",29.5330133851713,0.0119691191748525
"260",25,"50-64 years","immunocompromised",29.1795292283716,0.0120935382930941
"261",4,"65-74 years","immunocompromised",0.639776860529342,0.00227617602427924
"262",3,"65-74 years","immunocompromised",0.533147383774451,0
"263",1,"65-74 years","immunocompromised",0.426517907019559,0.00682852807283757
"264",7,"65-74 years","immunocompromised",0.853035814039126,0
"265",2,"65-74 years","immunocompromised",0.533147383774451,0.00227617602427924
"266",22,"65-74 years","immunocompromised",42.6873338608744,0.00227617602427924
"267",23,"65-74 years","immunocompromised",44.926552872727,0.0477996965098635
"268",21,"65-74 years","immunocompromised",42.5807043841195,0.0204855842185129
"269",5,"65-74 years","immunocompromised",0.853035814039126,0.00455235204855849
"270",14,"65-74 years","immunocompromised",22.2144743239354,0.0341426403641882
"271",6,"65-74 years","immunocompromised",0.853035814039126,0
"272",15,"65-74 years","immunocompromised",25.519988103337,0.0705614567526556
