"","week","age_group","perc_doses"
"418",2022-07-17,"50-64 years",0.000858871898221956
"419",2022-07-17,"65-74 years",0.00104718983779023
"420",2022-07-17,"75+ years",0.00108257521078434
"421",2022-07-24,"0-17 years",0.00430265415155751
"422",2022-07-24,"18-29 years",0.000579602567680984
"423",2022-07-24,"50-64 years",0.000657252881967592
"424",2022-07-24,"65-74 years",0.000793237135037094
"425",2022-07-24,"75+ years",0.000864068961625277
"426",2022-07-31,"0-17 years",0.00385048663364719
"427",2022-07-31,"18-29 years",0.000558243645337754
"428",2022-07-31,"50-64 years",0.000504487920492959
"429",2022-07-31,"65-74 years",0.000555087520226817
"430",2022-07-31,"75+ years",0.000575152484095354
"431",2022-08-07,"0-17 years",0.00394848680406899
"432",2022-08-07,"18-29 years",0.000539020615228847
"433",2022-08-07,"50-64 years",0.000424863494425035
"434",2022-08-07,"65-74 years",0.000435412390179085
"435",2022-08-07,"75+ years",0.000464343729045358
"436",2022-08-14,"0-17 years",0.00355801319944329
"437",2022-08-14,"18-29 years",0.000526457135907145
"438",2022-08-14,"50-64 years",0.000381725008002733
"439",2022-08-14,"65-74 years",0.000392059360422098
"440",2022-08-14,"75+ years",0.000405660561144151
"441",2022-08-21,"0-17 years",0.00329951722985778
"442",2022-08-21,"18-29 years",0.000497844239937912
"443",2022-08-21,"50-64 years",0.000328279758968673
"444",2022-08-21,"65-74 years",0.000321221288596122
"445",2022-08-21,"75+ years",0.000333575038420483
"446",2022-08-28,"0-17 years",0.00275969548861732
"447",2022-08-28,"18-29 years",0.000430281535582393
"448",2022-08-28,"50-64 years",0.000223150780328745
"449",2022-08-28,"65-74 years",0.000205537492874819
"450",2022-08-28,"75+ years",0.000207640768642281
"451",2022-09-04,"0-17 years",0.00282016774025274
"452",2022-09-04,"18-29 years",0.0007571435721774
"453",2022-09-04,"50-64 years",0.000466577773650076
"454",2022-09-04,"65-74 years",0.000738202151153973
"455",2022-09-04,"75+ years",0.000714010453166644
"456",2022-09-11,"0-17 years",0.00358500428650531
"457",2022-09-11,"18-29 years",0.00104180158721779
"458",2022-09-11,"50-64 years",0.00077707368222137
"459",2022-09-11,"65-74 years",0.0013185032223697
"460",2022-09-11,"75+ years",0.00148948027630486
"461",2022-09-18,"0-17 years",0.00353144205857318
"462",2022-09-18,"18-29 years",0.00110091139730634
"463",2022-09-18,"50-64 years",0.000887637135692952
"464",2022-09-18,"65-74 years",0.00150554428787814
"465",2022-09-18,"75+ years",0.00182631017232509
"466",2022-09-25,"0-17 years",0.00319243095092005
"467",2022-09-25,"18-29 years",0.00108958713847908
"468",2022-09-25,"50-64 years",0.000945617360276185
"469",2022-09-25,"65-74 years",0.00161220701902426
"470",2022-09-25,"75+ years",0.00198306985819495
"471",2022-10-02,"0-17 years",0.00282276377125729
"472",2022-10-02,"18-29 years",0.0011111475600897
"473",2022-10-02,"50-64 years",0.0010262537230369
"474",2022-10-02,"65-74 years",0.00170397525865956
"475",2022-10-02,"75+ years",0.00207659914863456
"476",2022-10-09,"0-17 years",0.00266933070350302
"477",2022-10-09,"18-29 years",0.0011180086101443
"478",2022-10-09,"50-64 years",0.00109855097786628
"479",2022-10-09,"65-74 years",0.00174116281262775
"480",2022-10-09,"75+ years",0.00209579323536244
"481",2022-10-16,"0-17 years",0.00265707591008448
"482",2022-10-16,"18-29 years",0.00110659367664671
"483",2022-10-16,"50-64 years",0.00110094964261957
"484",2022-10-16,"65-74 years",0.00166704730367194
"485",2022-10-16,"75+ years",0.00197617721857197
