"","day","age_group","perc_doses"
"416",2021-03-08,"0-17 years",4.90846198339474e-05
"417",2021-03-08,"18-29 years",0.00248500986500113
"418",2021-03-08,"50-64 years",0.00423663894340274
"419",2021-03-08,"65-74 years",0.012067810925199
"420",2021-03-08,"75+ years",0.011366653369844
"421",2021-03-09,"0-17 years",4.90846198339474e-05
"422",2021-03-09,"18-29 years",0.00248500986500113
"423",2021-03-09,"50-64 years",0.00423663894340274
"424",2021-03-09,"65-74 years",0.012067810925199
"425",2021-03-09,"75+ years",0.011366653369844
"426",2021-03-10,"0-17 years",4.90846198339474e-05
"427",2021-03-10,"18-29 years",0.00248500986500113
"428",2021-03-10,"50-64 years",0.00423663894340274
"429",2021-03-10,"65-74 years",0.012067810925199
"430",2021-03-10,"75+ years",0.011366653369844
"431",2021-03-11,"0-17 years",4.90846198339474e-05
"432",2021-03-11,"18-29 years",0.00248500986500113
"433",2021-03-11,"50-64 years",0.00423663894340274
"434",2021-03-11,"65-74 years",0.012067810925199
"435",2021-03-11,"75+ years",0.011366653369844
"436",2021-03-12,"0-17 years",4.90846198339474e-05
"437",2021-03-12,"18-29 years",0.00248500986500113
"438",2021-03-12,"50-64 years",0.00423663894340274
"439",2021-03-12,"65-74 years",0.012067810925199
"440",2021-03-12,"75+ years",0.011366653369844
"441",2021-03-13,"0-17 years",4.90846198339474e-05
"442",2021-03-13,"18-29 years",0.00248500986500113
"443",2021-03-13,"50-64 years",0.00423663894340274
"444",2021-03-13,"65-74 years",0.012067810925199
"445",2021-03-13,"75+ years",0.011366653369844
"446",2021-03-14,"0-17 years",7.76409608840084e-05
"447",2021-03-14,"18-29 years",0.00238245537358304
"448",2021-03-14,"50-64 years",0.00410078778093618
"449",2021-03-14,"65-74 years",0.0109486287272584
"450",2021-03-14,"75+ years",0.00872367480917392
"451",2021-03-15,"0-17 years",7.76409608840084e-05
"452",2021-03-15,"18-29 years",0.00238245537358304
"453",2021-03-15,"50-64 years",0.00410078778093618
"454",2021-03-15,"65-74 years",0.0109486287272584
"455",2021-03-15,"75+ years",0.00872367480917392
"456",2021-03-16,"0-17 years",7.76409608840084e-05
"457",2021-03-16,"18-29 years",0.00238245537358304
"458",2021-03-16,"50-64 years",0.00410078778093618
"459",2021-03-16,"65-74 years",0.0109486287272584
"460",2021-03-16,"75+ years",0.00872367480917392
"461",2021-03-17,"0-17 years",7.76409608840084e-05
"462",2021-03-17,"18-29 years",0.00238245537358304
"463",2021-03-17,"50-64 years",0.00410078778093618
"464",2021-03-17,"65-74 years",0.0109486287272584
"465",2021-03-17,"75+ years",0.00872367480917392
"466",2021-03-18,"0-17 years",7.76409608840084e-05
"467",2021-03-18,"18-29 years",0.00238245537358304
"468",2021-03-18,"50-64 years",0.00410078778093618
"469",2021-03-18,"65-74 years",0.0109486287272584
"470",2021-03-18,"75+ years",0.00872367480917392
"471",2021-03-19,"0-17 years",7.76409608840084e-05
"472",2021-03-19,"18-29 years",0.00238245537358304
"473",2021-03-19,"50-64 years",0.00410078778093618
"474",2021-03-19,"65-74 years",0.0109486287272584
"475",2021-03-19,"75+ years",0.00872367480917392
"476",2021-03-20,"0-17 years",7.76409608840084e-05
"477",2021-03-20,"18-29 years",0.00238245537358304
"478",2021-03-20,"50-64 years",0.00410078778093618
"479",2021-03-20,"65-74 years",0.0109486287272584
"480",2021-03-20,"75+ years",0.00872367480917392
"481",2021-03-21,"0-17 years",0.000133210204382685
"482",2021-03-21,"18-29 years",0.00338319284938744
"483",2021-03-21,"50-64 years",0.00597952053229455
"484",2021-03-21,"65-74 years",0.0119708924272168
"485",2021-03-21,"75+ years",0.00851259455865628
"486",2021-03-22,"0-17 years",0.000133210204382685
"487",2021-03-22,"18-29 years",0.00338319284938744
"488",2021-03-22,"50-64 years",0.00597952053229455
"489",2021-03-22,"65-74 years",0.0119708924272168
"490",2021-03-22,"75+ years",0.00851259455865628
"491",2021-03-23,"0-17 years",0.000133210204382685
"492",2021-03-23,"18-29 years",0.00338319284938744
"493",2021-03-23,"50-64 years",0.00597952053229455
"494",2021-03-23,"65-74 years",0.0119708924272168
"495",2021-03-23,"75+ years",0.00851259455865628
"496",2021-03-24,"0-17 years",0.000133210204382685
"497",2021-03-24,"18-29 years",0.00338319284938744
"498",2021-03-24,"50-64 years",0.00597952053229455
"499",2021-03-24,"65-74 years",0.0119708924272168
"500",2021-03-24,"75+ years",0.00851259455865628
"501",2021-03-25,"0-17 years",0.000133210204382685
"502",2021-03-25,"18-29 years",0.00338319284938744
"503",2021-03-25,"50-64 years",0.00597952053229455
"504",2021-03-25,"65-74 years",0.0119708924272168
"505",2021-03-25,"75+ years",0.00851259455865628
"506",2021-03-26,"0-17 years",0.000133210204382685
"507",2021-03-26,"18-29 years",0.00338319284938744
"508",2021-03-26,"50-64 years",0.00597952053229455
"509",2021-03-26,"65-74 years",0.0119708924272168
"510",2021-03-26,"75+ years",0.00851259455865628
"511",2021-03-27,"0-17 years",0.000133210204382685
"512",2021-03-27,"18-29 years",0.00338319284938744
"513",2021-03-27,"50-64 years",0.00597952053229455
"514",2021-03-27,"65-74 years",0.0119708924272168
"515",2021-03-27,"75+ years",0.00851259455865628
"516",2021-03-28,"0-17 years",0.000225412935817431
"517",2021-03-28,"18-29 years",0.00513439563593578
"518",2021-03-28,"50-64 years",0.00908152947452745
"519",2021-03-28,"65-74 years",0.0118655925907187
"520",2021-03-28,"75+ years",0.00797162491729433
"521",2021-03-29,"0-17 years",0.000225412935817431
"522",2021-03-29,"18-29 years",0.00513439563593578
"523",2021-03-29,"50-64 years",0.00908152947452745
"524",2021-03-29,"65-74 years",0.0118655925907187
"525",2021-03-29,"75+ years",0.00797162491729433
"526",2021-03-30,"0-17 years",0.000225412935817431
